,Codes,Titles,Total Marketable US Businesses,code_len
0,11,"Agriculture, Forestry, Fishing and Hunting",378293,2
1,1111,Oilseed and Grain Farming,61440,4
2,111110,Soybean Farming,4896,6
3,111120,Oilseed (except Soybean) Farming,208,6
4,111130,Dry Pea and Bean Farming,3666,6
5,111140,Wheat Farming,7477,6
6,111150,Corn Farming,28495,6
7,111160,Rice Farming,1002,6
8,111191,Oilseed and Grain Combination Farming,0,6
9,111199,All Other Grain Farming,15696,6
10,1112,Vegetable and Melon Farming,4820,4
11,111211,Potato Farming,639,6
12,111219,Other Vegetable (except Potato) and Melon Farming,4181,6
13,1113,Fruit and Tree Nut Farming,11782,4
14,111310,Orange Groves,234,6
15,111320,Citrus (except Orange) Groves,692,6
16,111331,Apple Orchards,1761,6
17,111332,Grape Vineyards,2552,6
18,111333,Strawberry Farming,305,6
19,111334,Berry (except Strawberry) Farming,1062,6
20,111335,Tree Nut Farming,1518,6
21,111336,Fruit and Tree Nut Combination Farming,230,6
22,111339,Other Noncitrus Fruit Farming,3428,6
23,1114,"Greenhouse, Nursery, and Floriculture Production",12439,4
24,111411,Mushroom Production,351,6
25,111419,Other Food Crops Grown Under Cover,660,6
26,111421,Nursery and Tree Production,6071,6
27,111422,Floriculture Production,5357,6
28,1119,Other Crop Farming,137054,4
29,111910,Tobacco Farming,1981,6
30,111920,Cotton Farming,3325,6
31,111930,Sugarcane Farming,177,6
32,111940,Hay Farming,2792,6
33,111991,Sugar Beet Farming,489,6
34,111992,Peanut Farming,376,6
35,111998,All Other Miscellaneous Crop Farming,127914,6
36,1121,Cattle Ranching and Farming,48050,4
37,112111,Beef Cattle Ranching and Farming,17037,6
38,112112,Cattle Feedlots,10529,6
39,112120,Dairy Cattle and Milk Production,20484,6
40,112130,Dual-Purpose Cattle Ranching and Farming,0,6
41,1122,Hog and Pig Farming,4351,4
42,112210,Hog and Pig Farming,4351,6
43,1123,Poultry and Egg Production,3781,4
44,112310,Chicken Egg Production,572,6
45,112320,Broilers and Other Meat Type Chicken Production,974,6
46,112330,Turkey Production,608,6
47,112340,Poultry Hatcheries,642,6
48,112390,Other Poultry Production,985,6
49,1124,Sheep and Goat Farming,1333,4
50,112410,Sheep Farming,856,6
51,112420,Goat Farming,477,6
52,1125,Aquaculture,1681,4
53,112511,Finfish Farming and Fish Hatcheries,1291,6
54,112512,Shellfish Farming,90,6
55,112519,Other Aquaculture,300,6
56,1129,Other Animal Production,36402,4
57,112910,Apiculture,1444,6
58,112920,Horses and Other Equine Production,3805,6
59,112930,Fur-Bearing Animal and Rabbit Production,382,6
60,112990,All Other Animal Production,30771,6
61,1131,Timber Tract Operations,2079,4
62,113110,Timber Tract Operations,2079,6
63,1132,Forest Nurseries and Gathering of Forest Products,982,4
64,113210,Forest Nurseries and Gathering of Forest Products,982,6
65,1133,Logging,8223,4
66,113310,Logging,8223,6
67,1141,Fishing,1144,4
68,114111,Finfish Fishing,516,6
69,114112,Shellfish Fishing,453,6
70,114119,Other Marine Fishing,175,6
71,1142,Hunting and Trapping,2247,4
72,114210,Hunting and Trapping,2247,6
73,1151,Support Activities for Crop Production,12830,4
74,115111,Cotton Ginning,621,6
75,115112,"Soil Preparation, Planting, and Cultivating",4486,6
76,115113,"Crop Harvesting, Primarily by Machine",1908,6
77,115114,Postharvest Crop Activities (except Cotton Ginning),2148,6
78,115115,Farm Labor Contractors and Crew Leaders,589,6
